udvandring_id;kommune_id;indbygger_gruppe_id;aarstal;udvandret_indevaerende_aar;udvandret_foer_indevaerende_aar
1;1;1;2006;0;0
2;1;1;2007;5109;168
3;1;1;2008;5225;411
4;1;1;2009;5197;557
5;1;1;2010;5519;697
6;1;1;2011;5761;2275
7;1;1;2012;5789;878
8;1;1;2013;5586;867
9;1;1;2014;5641;1223
10;1;1;2015;5790;1051
11;1;1;2016;6342;1200
12;1;1;2017;6632;1225
13;2;1;2006;0;0
14;2;1;2007;1067;12
15;2;1;2008;1036;94
16;2;1;2009;1108;187
17;2;1;2010;1119;97
18;2;1;2011;1074;156
19;2;1;2012;1018;100
20;2;1;2013;1077;509
21;2;1;2014;1127;416
22;2;1;2015;1066;202
23;2;1;2016;1030;192
24;2;1;2017;1109;467
25;1;20;2006;0;0
26;1;20;2007;4924;136
27;1;20;2008;5039;329
28;1;20;2009;5033;546
29;1;20;2010;5644;667
30;1;20;2011;5802;1758
31;1;20;2012;6377;729
32;1;20;2013;6391;819
33;1;20;2014;6606;1089
34;1;20;2015;6256;873
35;1;20;2016;7043;1268
36;1;20;2017;6944;1139
37;2;20;2006;0;0
38;2;20;2007;1034;22
39;2;20;2008;1110;76
40;2;20;2009;1157;191
41;2;20;2010;1282;110
42;2;20;2011;1178;116
43;2;20;2012;1061;107
44;2;20;2013;1273;449
45;2;20;2014;1208;385
46;2;20;2015;1273;213
47;2;20;2016;1171;205
48;2;20;2017;1279;471
