koen_id,aldersgruppe_id,fra_flytnings_kommune,til_flytnings_kommune,aarstal,antal_flyttede
K,19,69,2,2006,0
K,19,69,2,2007,0
K,19,69,2,2008,0
K,19,69,2,2009,0
K,19,69,2,2010,3
K,19,69,2,2011,0
K,19,69,2,2012,0
K,19,69,2,2013,0
K,19,69,2,2014,0
K,19,69,2,2015,0
K,19,69,2,2016,0
K,19,69,2,2017,0
K,19,69,1,2006,4
K,19,69,1,2007,0
K,19,69,1,2008,0
K,19,69,1,2009,2
K,19,69,1,2010,0
K,19,69,1,2011,1
K,19,69,1,2012,2
K,19,69,1,2013,2
K,19,69,1,2014,0
K,19,69,1,2015,1
K,19,69,1,2016,2
K,19,69,1,2017,0
K,19,99,2,2006,3
K,19,99,2,2007,3
K,19,99,2,2008,0
K,19,99,2,2009,1
K,19,99,2,2010,0
K,19,99,2,2011,4
K,19,99,2,2012,1
K,19,99,2,2013,2
K,19,99,2,2014,1
K,19,99,2,2015,3
K,19,99,2,2016,3
K,19,99,2,2017,0
K,19,99,1,2006,8
K,19,99,1,2007,6
K,19,99,1,2008,4
K,19,99,1,2009,12
K,19,99,1,2010,15
K,19,99,1,2011,4
K,19,99,1,2012,10
K,19,99,1,2013,8
K,19,99,1,2014,7
K,19,99,1,2015,11
K,19,99,1,2016,5
K,19,99,1,2017,8
K,19,80,2,2006,1
K,19,80,2,2007,2
K,19,80,2,2008,8
K,19,80,2,2009,4
K,19,80,2,2010,9
K,19,80,2,2011,5
K,19,80,2,2012,6
K,19,80,2,2013,4
K,19,80,2,2014,5
K,19,80,2,2015,7
K,19,80,2,2016,2
K,19,80,2,2017,3
K,19,80,1,2006,24
K,19,80,1,2007,11
K,19,80,1,2008,25
K,19,80,1,2009,19
K,19,80,1,2010,31
K,19,80,1,2011,19
K,19,80,1,2012,25
K,19,80,1,2013,28
K,19,80,1,2014,18
K,19,80,1,2015,10
K,19,80,1,2016,19
K,19,80,1,2017,27
K,19,5,2,2006,0
K,19,5,2,2007,0
K,19,5,2,2008,0
K,19,5,2,2009,0
K,19,5,2,2010,1
K,19,5,2,2011,1
K,19,5,2,2012,0
K,19,5,2,2013,0
K,19,5,2,2014,1
K,19,5,2,2015,0
K,19,5,2,2016,0
K,19,5,2,2017,1
K,19,5,1,2006,4
K,19,5,1,2007,7
K,19,5,1,2008,3
K,19,5,1,2009,10
K,19,5,1,2010,1
K,19,5,1,2011,9
K,19,5,1,2012,9
K,19,5,1,2013,11
K,19,5,1,2014,11
K,19,5,1,2015,10
K,19,5,1,2016,7
K,19,5,1,2017,11
K,19,18,2,2006,0
K,19,18,2,2007,0
K,19,18,2,2008,0
K,19,18,2,2009,0
K,19,18,2,2010,0
K,19,18,2,2011,0
K,19,18,2,2012,0
K,19,18,2,2013,0
K,19,18,2,2014,2
K,19,18,2,2015,0
K,19,18,2,2016,0
K,19,18,2,2017,0
K,19,18,1,2006,2
K,19,18,1,2007,3
K,19,18,1,2008,3
K,19,18,1,2009,0
K,19,18,1,2010,3
K,19,18,1,2011,4
K,19,18,1,2012,4
K,19,18,1,2013,2
K,19,18,1,2014,1
K,19,18,1,2015,2
K,19,18,1,2016,3
K,19,18,1,2017,2
K,19,48,2,2006,0
K,19,48,2,2007,0
K,19,48,2,2008,0
K,19,48,2,2009,0
K,19,48,2,2010,0
K,19,48,2,2011,1
K,19,48,2,2012,0
K,19,48,2,2013,0
K,19,48,2,2014,0
K,19,48,2,2015,0
K,19,48,2,2016,0
K,19,48,2,2017,0
K,19,48,1,2006,2
K,19,48,1,2007,0
K,19,48,1,2008,0
K,19,48,1,2009,2
K,19,48,1,2010,3
K,19,48,1,2011,0
K,19,48,1,2012,1
K,19,48,1,2013,0
K,19,48,1,2014,0
K,19,48,1,2015,0
K,19,48,1,2016,1
K,19,48,1,2017,1
K,19,6,2,2006,1
K,19,6,2,2007,1
K,19,6,2,2008,1
K,19,6,2,2009,1
K,19,6,2,2010,1
K,19,6,2,2011,2
K,19,6,2,2012,2
K,19,6,2,2013,2
K,19,6,2,2014,0
K,19,6,2,2015,3
K,19,6,2,2016,0
K,19,6,2,2017,1
K,19,6,1,2006,7
K,19,6,1,2007,6
K,19,6,1,2008,7
K,19,6,1,2009,9
K,19,6,1,2010,6
K,19,6,1,2011,9
K,19,6,1,2012,5
K,19,6,1,2013,5
K,19,6,1,2014,9
K,19,6,1,2015,8
K,19,6,1,2016,9
K,19,6,1,2017,13
K,19,58,2,2006,0
K,19,58,2,2007,0
K,19,58,2,2008,0
K,19,58,2,2009,0
K,19,58,2,2010,0
K,19,58,2,2011,0
K,19,58,2,2012,0
K,19,58,2,2013,0
K,19,58,2,2014,0
K,19,58,2,2015,0
K,19,58,2,2016,0
K,19,58,2,2017,0
K,19,58,1,2006,1
K,19,58,1,2007,0
K,19,58,1,2008,0
K,19,58,1,2009,0
K,19,58,1,2010,0
K,19,58,1,2011,2
K,19,58,1,2012,3
K,19,58,1,2013,0
K,19,58,1,2014,0
K,19,58,1,2015,0
K,19,58,1,2016,0
K,19,58,1,2017,0
K,19,29,2,2006,2
K,19,29,2,2007,1
K,19,29,2,2008,0
K,19,29,2,2009,0
K,19,29,2,2010,0
K,19,29,2,2011,1
K,19,29,2,2012,0
K,19,29,2,2013,0
K,19,29,2,2014,0
K,19,29,2,2015,0
K,19,29,2,2016,0
K,19,29,2,2017,0
K,19,29,1,2006,2
K,19,29,1,2007,3
K,19,29,1,2008,3
K,19,29,1,2009,2
K,19,29,1,2010,5
K,19,29,1,2011,2
K,19,29,1,2012,4
K,19,29,1,2013,1
K,19,29,1,2014,5
K,19,29,1,2015,3
K,19,29,1,2016,3
K,19,29,1,2017,6
