aarstal;korrektion;indbygger_gruppe_id;kommune_id
2006;-22;1;1
2007;-156;1;1
2008;71;1;1
2009;-466;1;1
2010;80;1;1
2011;-543;1;1
2012;-580;1;1
2013;-864;1;1
2014;-404;1;1
2015;-215;1;1
2016;-74;1;1
2017;40;1;1
2006;21;1;2
2007;-41;1;2
2008;6;1;2
2009;10;1;2
2010;-6;1;2
2011;7;1;2
2012;10;1;2
2013;22;1;2
2014;-13;1;2
2015;-16;1;2
2016;-10;1;2
2017;-9;1;2
2006;9;20;1
2007;-284;20;1
2008;-100;20;1
2009;-242;20;1
2010;-6;20;1
2011;-162;20;1
2012;-344;20;1
2013;-522;20;1
2014;-236;20;1
2015;-70;20;1
2016;-78;20;1
2017;-27;20;1
2006;13;20;2
2007;-51;20;2
2008;-14;20;2
2009;-5;20;2
2010;9;20;2
2011;-19;20;2
2012;-16;20;2
2013;14;20;2
2014;-31;20;2
2015;0;20;2
2016;-23;20;2
2017;-10;20;2
