køn	alder	fraflytningskommune	tilflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	0-4 år	København	København	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	København	Frederiksberg	147	139	142	158	210	165	163	177	136	158	117	141
Mænd	0-4 år	København	Dragør	23	19	22	19	27	28	31	29	35	36	27	29
Mænd	0-4 år	København	Tårnby	73	67	59	69	79	81	86	91	102	99	114	94
Mænd	0-4 år	København	Albertslund	22	16	46	20	21	22	23	24	28	26	25	23
Mænd	0-4 år	København	Ballerup	49	62	36	38	54	47	42	47	57	57	41	49
Mænd	0-4 år	København	Brøndby	33	26	35	31	31	19	28	26	36	43	30	43
Mænd	0-4 år	København	Gentofte	81	98	107	140	141	130	126	156	141	148	138	134
Mænd	0-4 år	København	Gladsaxe	81	84	74	110	126	110	101	110	119	108	94	135
Mænd	0-4 år	København	Glostrup	15	23	17	20	26	14	17	28	28	21	36	25
Mænd	0-4 år	København	Herlev	14	22	40	30	29	21	48	50	39	55	32	43
Mænd	0-4 år	København	Hvidovre	55	71	44	57	75	73	83	73	110	111	85	93
Mænd	0-4 år	København	Høje-Taastrup	53	39	28	35	26	32	33	31	32	53	42	42
Mænd	0-4 år	København	Ishøj	7	9	9	16	9	14	5	15	17	22	16	23
Mænd	0-4 år	København	Lyngby-Taarbæk	50	48	59	91	105	83	101	81	88	84	73	56
Mænd	0-4 år	København	Rødovre	42	44	52	54	58	60	53	67	61	66	65	73
Mænd	0-4 år	København	Vallensbæk	11	12	38	21	22	25	29	23	19	23	27	44
Mænd	0-4 år	København	Allerød	32	13	17	23	25	30	29	23	34	36	31	37
Mænd	0-4 år	København	Egedal	39	51	36	36	39	42	45	36	48	43	48	42
Mænd	0-4 år	København	Fredensborg	53	27	36	29	37	32	34	32	59	37	30	54
Mænd	0-4 år	København	Frederikssund	28	18	16	15	13	16	19	20	20	23	26	30
Mænd	0-4 år	København	Furesø	50	50	59	47	71	54	70	84	82	74	64	77
Mænd	0-4 år	København	Gribskov	25	19	16	18	13	15	18	10	18	19	27	25
Mænd	0-4 år	København	Halsnæs	20	19	9	9	9	10	16	8	4	7	13	9
Mænd	0-4 år	København	Helsingør	53	43	46	44	32	38	47	47	36	50	43	49
Mænd	0-4 år	København	Hillerød	26	34	31	28	36	30	23	41	40	52	33	45
Mænd	0-4 år	København	Hørsholm	15	14	20	17	19	22	32	29	34	21	26	24
Mænd	0-4 år	København	Rudersdal	44	39	62	61	101	67	83	87	77	80	75	81
Mænd	0-4 år	København	Bornholm	17	30	18	8	9	16	10	12	17	24	28	33
Mænd	0-4 år	København	Christiansø	0	1	0	1	0	0	0	0	0	0	2	0
