køn	alder	tilflytningskommune	fraflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	0-4 år	København	København	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	København	Frederiksberg	133	134	130	131	174	161	195	195	196	177	153	157
Mænd	0-4 år	København	Dragør	4	9	6	4	4	6	5	5	4	5	5	7
Mænd	0-4 år	København	Tårnby	20	20	24	15	14	17	14	25	28	30	25	32
Mænd	0-4 år	København	Albertslund	6	1	8	6	6	11	6	10	8	7	5	5
Mænd	0-4 år	København	Ballerup	8	6	7	12	9	10	6	8	11	11	6	10
Mænd	0-4 år	København	Brøndby	8	2	10	5	9	10	13	11	17	9	16	12
Mænd	0-4 år	København	Gentofte	23	29	33	32	32	27	29	36	29	31	28	36
Mænd	0-4 år	København	Gladsaxe	18	16	21	37	28	22	33	24	31	15	32	24
Mænd	0-4 år	København	Glostrup	6	9	13	5	5	9	9	13	6	10	9	11
Mænd	0-4 år	København	Herlev	6	6	4	5	8	1	3	3	12	11	5	8
Mænd	0-4 år	København	Hvidovre	14	13	13	38	28	18	29	25	28	27	26	20
Mænd	0-4 år	København	Høje-Taastrup	18	11	15	7	20	8	16	18	15	18	18	19
Mænd	0-4 år	København	Ishøj	2	4	5	4	4	6	8	1	4	10	6	9
Mænd	0-4 år	København	Lyngby-Taarbæk	11	9	5	16	6	22	4	16	7	19	9	17
Mænd	0-4 år	København	Rødovre	11	16	15	19	16	17	11	30	25	12	17	17
Mænd	0-4 år	København	Vallensbæk	8	3	2	4	2	9	2	5	1	4	7	6
Mænd	0-4 år	København	Allerød	1	1	3	2	1	1	5	3	3	1	2	3
Mænd	0-4 år	København	Egedal	2	4	4	0	7	6	5	8	7	2	6	6
Mænd	0-4 år	København	Fredensborg	9	6	10	7	8	6	8	4	13	7	5	8
Mænd	0-4 år	København	Frederikssund	5	3	3	5	6	3	4	11	11	9	6	3
Mænd	0-4 år	København	Furesø	9	6	7	8	13	13	9	11	8	5	4	7
Mænd	0-4 år	København	Gribskov	2	8	4	8	3	3	4	7	7	2	9	7
Mænd	0-4 år	København	Halsnæs	4	4	2	2	2	6	2	1	0	2	4	1
