køn,alder,fraflytningskommune,tilflytningskommune,år,antal
Mænd,0-4 år,København,København,2006,0
Mænd,0-4 år,København,København,2007,0
Mænd,0-4 år,København,København,2008,0
Mænd,0-4 år,København,København,2009,0
Mænd,0-4 år,København,København,2010,0
Mænd,0-4 år,København,København,2011,0
Mænd,0-4 år,København,København,2012,0
Mænd,0-4 år,København,København,2013,0
Mænd,0-4 år,København,København,2014,0
Mænd,0-4 år,København,København,2015,0
Mænd,0-4 år,København,København,2016,0
Mænd,0-4 år,København,København,2017,0
Mænd,0-4 år,København,Frederiksberg,2006,147
Mænd,0-4 år,København,Frederiksberg,2007,139
Mænd,0-4 år,København,Frederiksberg,2008,142
Mænd,0-4 år,København,Frederiksberg,2009,158
Mænd,0-4 år,København,Frederiksberg,2010,210
Mænd,0-4 år,København,Frederiksberg,2011,165
Mænd,0-4 år,København,Frederiksberg,2012,163
Mænd,0-4 år,København,Frederiksberg,2013,177
Mænd,0-4 år,København,Frederiksberg,2014,136
Mænd,0-4 år,København,Frederiksberg,2015,158
Mænd,0-4 år,København,Frederiksberg,2016,117
Mænd,0-4 år,København,Frederiksberg,2017,141
Mænd,0-4 år,København,Dragør,2006,23
Mænd,0-4 år,København,Dragør,2007,19
Mænd,0-4 år,København,Dragør,2008,22
Mænd,0-4 år,København,Dragør,2009,19
Mænd,0-4 år,København,Dragør,2010,27
Mænd,0-4 år,København,Dragør,2011,28
Mænd,0-4 år,København,Dragør,2012,31
Mænd,0-4 år,København,Dragør,2013,29
Mænd,0-4 år,København,Dragør,2014,35
Mænd,0-4 år,København,Dragør,2015,36
Mænd,0-4 år,København,Dragør,2016,27
Mænd,0-4 år,København,Dragør,2017,29
Mænd,0-4 år,København,Tårnby,2006,73
Mænd,0-4 år,København,Tårnby,2007,67
Mænd,0-4 år,København,Tårnby,2008,59
Mænd,0-4 år,København,Tårnby,2009,69
Mænd,0-4 år,København,Tårnby,2010,79
Mænd,0-4 år,København,Tårnby,2011,81
Mænd,0-4 år,København,Tårnby,2012,86
Mænd,0-4 år,København,Tårnby,2013,91
Mænd,0-4 år,København,Tårnby,2014,102
Mænd,0-4 år,København,Tårnby,2015,99
Mænd,0-4 år,København,Tårnby,2016,114
Mænd,0-4 år,København,Tårnby,2017,94
Mænd,0-4 år,København,Albertslund,2006,22
Mænd,0-4 år,København,Albertslund,2007,16
Mænd,0-4 år,København,Albertslund,2008,46
Mænd,0-4 år,København,Albertslund,2009,20
Mænd,0-4 år,København,Albertslund,2010,21
Mænd,0-4 år,København,Albertslund,2011,22
Mænd,0-4 år,København,Albertslund,2012,23
Mænd,0-4 år,København,Albertslund,2013,24
Mænd,0-4 år,København,Albertslund,2014,28
Mænd,0-4 år,København,Albertslund,2015,26
Mænd,0-4 år,København,Albertslund,2016,25
Mænd,0-4 år,København,Albertslund,2017,23
Mænd,0-4 år,København,Ballerup,2006,49
Mænd,0-4 år,København,Ballerup,2007,62
Mænd,0-4 år,København,Ballerup,2008,36
Mænd,0-4 år,København,Ballerup,2009,38
Mænd,0-4 år,København,Ballerup,2010,54
Mænd,0-4 år,København,Ballerup,2011,47
Mænd,0-4 år,København,Ballerup,2012,42
Mænd,0-4 år,København,Ballerup,2013,47
Mænd,0-4 år,København,Ballerup,2014,57
Mænd,0-4 år,København,Ballerup,2015,57
Mænd,0-4 år,København,Ballerup,2016,41
Mænd,0-4 år,København,Ballerup,2017,49
Mænd,0-4 år,København,Brøndby,2006,33
Mænd,0-4 år,København,Brøndby,2007,26
Mænd,0-4 år,København,Brøndby,2008,35
Mænd,0-4 år,København,Brøndby,2009,31
Mænd,0-4 år,København,Brøndby,2010,31
Mænd,0-4 år,København,Brøndby,2011,19
Mænd,0-4 år,København,Brøndby,2012,28
Mænd,0-4 år,København,Brøndby,2013,26
Mænd,0-4 år,København,Brøndby,2014,36
Mænd,0-4 år,København,Brøndby,2015,43
Mænd,0-4 år,København,Brøndby,2016,30
Mænd,0-4 år,København,Brøndby,2017,43
Mænd,0-4 år,København,Gentofte,2006,81
Mænd,0-4 år,København,Gentofte,2007,98
Mænd,0-4 år,København,Gentofte,2008,107
Mænd,0-4 år,København,Gentofte,2009,140
Mænd,0-4 år,København,Gentofte,2010,141
Mænd,0-4 år,København,Gentofte,2011,130
Mænd,0-4 år,København,Gentofte,2012,126
Mænd,0-4 år,København,Gentofte,2013,156
Mænd,0-4 år,København,Gentofte,2014,141
Mænd,0-4 år,København,Gentofte,2015,148
Mænd,0-4 år,København,Gentofte,2016,138
Mænd,0-4 år,København,Gentofte,2017,134
Mænd,0-4 år,København,Gladsaxe,2006,81
Mænd,0-4 år,København,Gladsaxe,2007,84
Mænd,0-4 år,København,Gladsaxe,2008,74
Mænd,0-4 år,København,Gladsaxe,2009,110
Mænd,0-4 år,København,Gladsaxe,2010,126
Mænd,0-4 år,København,Gladsaxe,2011,110
Mænd,0-4 år,København,Gladsaxe,2012,101
Mænd,0-4 år,København,Gladsaxe,2013,110
Mænd,0-4 år,København,Gladsaxe,2014,119
Mænd,0-4 år,København,Gladsaxe,2015,108
Mænd,0-4 år,København,Gladsaxe,2016,94
Mænd,0-4 år,København,Gladsaxe,2017,135
Mænd,0-4 år,København,Glostrup,2006,15
Mænd,0-4 år,København,Glostrup,2007,23
Mænd,0-4 år,København,Glostrup,2008,17
Mænd,0-4 år,København,Glostrup,2009,20
Mænd,0-4 år,København,Glostrup,2010,26
Mænd,0-4 år,København,Glostrup,2011,14
Mænd,0-4 år,København,Glostrup,2012,17
Mænd,0-4 år,København,Glostrup,2013,28
Mænd,0-4 år,København,Glostrup,2014,28
Mænd,0-4 år,København,Glostrup,2015,21
Mænd,0-4 år,København,Glostrup,2016,36
Mænd,0-4 år,København,Glostrup,2017,25
Mænd,0-4 år,København,Herlev,2006,14
Mænd,0-4 år,København,Herlev,2007,22
Mænd,0-4 år,København,Herlev,2008,40
Mænd,0-4 år,København,Herlev,2009,30
Mænd,0-4 år,København,Herlev,2010,29
Mænd,0-4 år,København,Herlev,2011,21
Mænd,0-4 år,København,Herlev,2012,48
Mænd,0-4 år,København,Herlev,2013,50
Mænd,0-4 år,København,Herlev,2014,39
Mænd,0-4 år,København,Herlev,2015,55
Mænd,0-4 år,København,Herlev,2016,32
Mænd,0-4 år,København,Herlev,2017,43
Mænd,0-4 år,København,Hvidovre,2006,55
Mænd,0-4 år,København,Hvidovre,2007,71
Mænd,0-4 år,København,Hvidovre,2008,44
Mænd,0-4 år,København,Hvidovre,2009,57
Mænd,0-4 år,København,Hvidovre,2010,75
Mænd,0-4 år,København,Hvidovre,2011,73
Mænd,0-4 år,København,Hvidovre,2012,83
Mænd,0-4 år,København,Hvidovre,2013,73
Mænd,0-4 år,København,Hvidovre,2014,110
Mænd,0-4 år,København,Hvidovre,2015,111
Mænd,0-4 år,København,Hvidovre,2016,85
Mænd,0-4 år,København,Hvidovre,2017,93
Mænd,0-4 år,København,Høje-Taastrup,2006,53
Mænd,0-4 år,København,Høje-Taastrup,2007,39
Mænd,0-4 år,København,Høje-Taastrup,2008,28
Mænd,0-4 år,København,Høje-Taastrup,2009,35
Mænd,0-4 år,København,Høje-Taastrup,2010,26
Mænd,0-4 år,København,Høje-Taastrup,2011,32
Mænd,0-4 år,København,Høje-Taastrup,2012,33
Mænd,0-4 år,København,Høje-Taastrup,2013,31
Mænd,0-4 år,København,Høje-Taastrup,2014,32
Mænd,0-4 år,København,Høje-Taastrup,2015,53
Mænd,0-4 år,København,Høje-Taastrup,2016,42
Mænd,0-4 år,København,Høje-Taastrup,2017,42
Mænd,0-4 år,København,Ishøj,2006,7
Mænd,0-4 år,København,Ishøj,2007,9
Mænd,0-4 år,København,Ishøj,2008,9
Mænd,0-4 år,København,Ishøj,2009,16
Mænd,0-4 år,København,Ishøj,2010,9
Mænd,0-4 år,København,Ishøj,2011,14
Mænd,0-4 år,København,Ishøj,2012,5
Mænd,0-4 år,København,Ishøj,2013,15
Mænd,0-4 år,København,Ishøj,2014,17
Mænd,0-4 år,København,Ishøj,2015,22
Mænd,0-4 år,København,Ishøj,2016,16
Mænd,0-4 år,København,Ishøj,2017,23
Mænd,0-4 år,København,Lyngby-Taarbæk,2006,50
Mænd,0-4 år,København,Lyngby-Taarbæk,2007,48
Mænd,0-4 år,København,Lyngby-Taarbæk,2008,59
Mænd,0-4 år,København,Lyngby-Taarbæk,2009,91
Mænd,0-4 år,København,Lyngby-Taarbæk,2010,105
Mænd,0-4 år,København,Lyngby-Taarbæk,2011,83
Mænd,0-4 år,København,Lyngby-Taarbæk,2012,101
Mænd,0-4 år,København,Lyngby-Taarbæk,2013,81
Mænd,0-4 år,København,Lyngby-Taarbæk,2014,88
Mænd,0-4 år,København,Lyngby-Taarbæk,2015,84
Mænd,0-4 år,København,Lyngby-Taarbæk,2016,73
Mænd,0-4 år,København,Lyngby-Taarbæk,2017,56
Mænd,0-4 år,København,Rødovre,2006,42
Mænd,0-4 år,København,Rødovre,2007,44
Mænd,0-4 år,København,Rødovre,2008,52
Mænd,0-4 år,København,Rødovre,2009,54
Mænd,0-4 år,København,Rødovre,2010,58
Mænd,0-4 år,København,Rødovre,2011,60
Mænd,0-4 år,København,Rødovre,2012,53
Mænd,0-4 år,København,Rødovre,2013,67
Mænd,0-4 år,København,Rødovre,2014,61
Mænd,0-4 år,København,Rødovre,2015,66
Mænd,0-4 år,København,Rødovre,2016,65
Mænd,0-4 år,København,Rødovre,2017,73
Mænd,0-4 år,København,Vallensbæk,2006,11
Mænd,0-4 år,København,Vallensbæk,2007,12
