køn,alder,fraflytningskommune,tilflytningskommune,år,antal
Mænd,0-4 år,København,København,2006,0
Mænd,0-4 år,København,København,2007,0
Mænd,0-4 år,København,København,2008,0
Mænd,0-4 år,København,København,2009,0
Mænd,0-4 år,København,København,2010,0
Mænd,0-4 år,København,København,2011,0
Mænd,0-4 år,København,København,2012,0
Mænd,0-4 år,København,København,2013,0
Mænd,0-4 år,København,København,2014,0
Mænd,0-4 år,København,København,2015,0
Mænd,0-4 år,København,København,2016,0
Mænd,0-4 år,København,København,2017,0
Mænd,0-4 år,Frederiksberg,København,2006,133
Mænd,0-4 år,Frederiksberg,København,2007,134
Mænd,0-4 år,Frederiksberg,København,2008,130
Mænd,0-4 år,Frederiksberg,København,2009,131
Mænd,0-4 år,Frederiksberg,København,2010,174
Mænd,0-4 år,Frederiksberg,København,2011,161
Mænd,0-4 år,Frederiksberg,København,2012,195
Mænd,0-4 år,Frederiksberg,København,2013,195
Mænd,0-4 år,Frederiksberg,København,2014,196
Mænd,0-4 år,Frederiksberg,København,2015,177
Mænd,0-4 år,Frederiksberg,København,2016,153
Mænd,0-4 år,Frederiksberg,København,2017,157
Mænd,0-4 år,Dragør,København,2006,4
Mænd,0-4 år,Dragør,København,2007,9
Mænd,0-4 år,Dragør,København,2008,6
Mænd,0-4 år,Dragør,København,2009,4
Mænd,0-4 år,Dragør,København,2010,4
Mænd,0-4 år,Dragør,København,2011,6
Mænd,0-4 år,Dragør,København,2012,5
Mænd,0-4 år,Dragør,København,2013,5
Mænd,0-4 år,Dragør,København,2014,4
Mænd,0-4 år,Dragør,København,2015,5
Mænd,0-4 år,Dragør,København,2016,5
Mænd,0-4 år,Dragør,København,2017,7
Mænd,0-4 år,Tårnby,København,2006,20
Mænd,0-4 år,Tårnby,København,2007,20
Mænd,0-4 år,Tårnby,København,2008,24
Mænd,0-4 år,Tårnby,København,2009,15
Mænd,0-4 år,Tårnby,København,2010,14
Mænd,0-4 år,Tårnby,København,2011,17
Mænd,0-4 år,Tårnby,København,2012,14
Mænd,0-4 år,Tårnby,København,2013,25
Mænd,0-4 år,Tårnby,København,2014,28
Mænd,0-4 år,Tårnby,København,2015,30
Mænd,0-4 år,Tårnby,København,2016,25
Mænd,0-4 år,Tårnby,København,2017,32
Mænd,0-4 år,Albertslund,København,2006,6
Mænd,0-4 år,Albertslund,København,2007,1
Mænd,0-4 år,Albertslund,København,2008,8
Mænd,0-4 år,Albertslund,København,2009,6
Mænd,0-4 år,Albertslund,København,2010,6
Mænd,0-4 år,Albertslund,København,2011,11
Mænd,0-4 år,Albertslund,København,2012,6
Mænd,0-4 år,Albertslund,København,2013,10
Mænd,0-4 år,Albertslund,København,2014,8
Mænd,0-4 år,Albertslund,København,2015,7
Mænd,0-4 år,Albertslund,København,2016,5
Mænd,0-4 år,Albertslund,København,2017,5
Mænd,0-4 år,Ballerup,København,2006,8
Mænd,0-4 år,Ballerup,København,2007,6
Mænd,0-4 år,Ballerup,København,2008,7
Mænd,0-4 år,Ballerup,København,2009,12
Mænd,0-4 år,Ballerup,København,2010,9
Mænd,0-4 år,Ballerup,København,2011,10
Mænd,0-4 år,Ballerup,København,2012,6
Mænd,0-4 år,Ballerup,København,2013,8
Mænd,0-4 år,Ballerup,København,2014,11
Mænd,0-4 år,Ballerup,København,2015,11
Mænd,0-4 år,Ballerup,København,2016,6
Mænd,0-4 år,Ballerup,København,2017,10
Mænd,0-4 år,Brøndby,København,2006,8
Mænd,0-4 år,Brøndby,København,2007,2
Mænd,0-4 år,Brøndby,København,2008,10
Mænd,0-4 år,Brøndby,København,2009,5
Mænd,0-4 år,Brøndby,København,2010,9
Mænd,0-4 år,Brøndby,København,2011,10
Mænd,0-4 år,Brøndby,København,2012,13
Mænd,0-4 år,Brøndby,København,2013,11
Mænd,0-4 år,Brøndby,København,2014,17
Mænd,0-4 år,Brøndby,København,2015,9
Mænd,0-4 år,Brøndby,København,2016,16
Mænd,0-4 år,Brøndby,København,2017,12
Mænd,0-4 år,Gentofte,København,2006,23
Mænd,0-4 år,Gentofte,København,2007,29
Mænd,0-4 år,Gentofte,København,2008,33
Mænd,0-4 år,Gentofte,København,2009,32
Mænd,0-4 år,Gentofte,København,2010,32
Mænd,0-4 år,Gentofte,København,2011,27
Mænd,0-4 år,Gentofte,København,2012,29
Mænd,0-4 år,Gentofte,København,2013,36
Mænd,0-4 år,Gentofte,København,2014,29
Mænd,0-4 år,Gentofte,København,2015,31
Mænd,0-4 år,Gentofte,København,2016,28
Mænd,0-4 år,Gentofte,København,2017,36
Mænd,0-4 år,Gladsaxe,København,2006,18
Mænd,0-4 år,Gladsaxe,København,2007,16
Mænd,0-4 år,Gladsaxe,København,2008,21
Mænd,0-4 år,Gladsaxe,København,2009,37
Mænd,0-4 år,Gladsaxe,København,2010,28
Mænd,0-4 år,Gladsaxe,København,2011,22
Mænd,0-4 år,Gladsaxe,København,2012,33
Mænd,0-4 år,Gladsaxe,København,2013,24
Mænd,0-4 år,Gladsaxe,København,2014,31
Mænd,0-4 år,Gladsaxe,København,2015,15
Mænd,0-4 år,Gladsaxe,København,2016,32
Mænd,0-4 år,Gladsaxe,København,2017,24
Mænd,0-4 år,Glostrup,København,2006,6
Mænd,0-4 år,Glostrup,København,2007,9
Mænd,0-4 år,Glostrup,København,2008,13
Mænd,0-4 år,Glostrup,København,2009,5
Mænd,0-4 år,Glostrup,København,2010,5
Mænd,0-4 år,Glostrup,København,2011,9
Mænd,0-4 år,Glostrup,København,2012,9
Mænd,0-4 år,Glostrup,København,2013,13
Mænd,0-4 år,Glostrup,København,2014,6
Mænd,0-4 år,Glostrup,København,2015,10
Mænd,0-4 år,Glostrup,København,2016,9
Mænd,0-4 år,Glostrup,København,2017,11
Mænd,0-4 år,Herlev,København,2006,6
Mænd,0-4 år,Herlev,København,2007,6
Mænd,0-4 år,Herlev,København,2008,4
Mænd,0-4 år,Herlev,København,2009,5
Mænd,0-4 år,Herlev,København,2010,8
Mænd,0-4 år,Herlev,København,2011,1
Mænd,0-4 år,Herlev,København,2012,3
Mænd,0-4 år,Herlev,København,2013,3
Mænd,0-4 år,Herlev,København,2014,12
Mænd,0-4 år,Herlev,København,2015,11
Mænd,0-4 år,Herlev,København,2016,5
Mænd,0-4 år,Herlev,København,2017,8
Mænd,0-4 år,Hvidovre,København,2006,14
Mænd,0-4 år,Hvidovre,København,2007,13
Mænd,0-4 år,Hvidovre,København,2008,13
Mænd,0-4 år,Hvidovre,København,2009,38
Mænd,0-4 år,Hvidovre,København,2010,28
Mænd,0-4 år,Hvidovre,København,2011,18
Mænd,0-4 år,Hvidovre,København,2012,29
Mænd,0-4 år,Hvidovre,København,2013,25
Mænd,0-4 år,Hvidovre,København,2014,28
Mænd,0-4 år,Hvidovre,København,2015,27
Mænd,0-4 år,Hvidovre,København,2016,26
Mænd,0-4 år,Hvidovre,København,2017,20
Mænd,0-4 år,Høje-Taastrup,København,2006,18
Mænd,0-4 år,Høje-Taastrup,København,2007,11
Mænd,0-4 år,Høje-Taastrup,København,2008,15
Mænd,0-4 år,Høje-Taastrup,København,2009,7
Mænd,0-4 år,Høje-Taastrup,København,2010,20
Mænd,0-4 år,Høje-Taastrup,København,2011,8
Mænd,0-4 år,Høje-Taastrup,København,2012,16
Mænd,0-4 år,Høje-Taastrup,København,2013,18
Mænd,0-4 år,Høje-Taastrup,København,2014,15
Mænd,0-4 år,Høje-Taastrup,København,2015,18
Mænd,0-4 år,Høje-Taastrup,København,2016,18
Mænd,0-4 år,Høje-Taastrup,København,2017,19
Mænd,0-4 år,Ishøj,København,2006,2
Mænd,0-4 år,Ishøj,København,2007,4
Mænd,0-4 år,Ishøj,København,2008,5
Mænd,0-4 år,Ishøj,København,2009,4
Mænd,0-4 år,Ishøj,København,2010,4
Mænd,0-4 år,Ishøj,København,2011,6
Mænd,0-4 år,Ishøj,København,2012,8
Mænd,0-4 år,Ishøj,København,2013,1
Mænd,0-4 år,Ishøj,København,2014,4
Mænd,0-4 år,Ishøj,København,2015,10
Mænd,0-4 år,Ishøj,København,2016,6
Mænd,0-4 år,Ishøj,København,2017,9
Mænd,0-4 år,Lyngby-Taarbæk,København,2006,11
Mænd,0-4 år,Lyngby-Taarbæk,København,2007,9
Mænd,0-4 år,Lyngby-Taarbæk,København,2008,5
Mænd,0-4 år,Lyngby-Taarbæk,København,2009,16
Mænd,0-4 år,Lyngby-Taarbæk,København,2010,6
Mænd,0-4 år,Lyngby-Taarbæk,København,2011,22
Mænd,0-4 år,Lyngby-Taarbæk,København,2012,4
Mænd,0-4 år,Lyngby-Taarbæk,København,2013,16
Mænd,0-4 år,Lyngby-Taarbæk,København,2014,7
Mænd,0-4 år,Lyngby-Taarbæk,København,2015,19
Mænd,0-4 år,Lyngby-Taarbæk,København,2016,9
Mænd,0-4 år,Lyngby-Taarbæk,København,2017,17
Mænd,0-4 år,Rødovre,København,2006,11
Mænd,0-4 år,Rødovre,København,2007,16
Mænd,0-4 år,Rødovre,København,2008,15
Mænd,0-4 år,Rødovre,København,2009,19
Mænd,0-4 år,Rødovre,København,2010,16
Mænd,0-4 år,Rødovre,København,2011,17
Mænd,0-4 år,Rødovre,København,2012,11
Mænd,0-4 år,Rødovre,København,2013,30
Mænd,0-4 år,Rødovre,København,2014,25
Mænd,0-4 år,Rødovre,København,2015,12
Mænd,0-4 år,Rødovre,København,2016,17
Mænd,0-4 år,Rødovre,København,2017,17
Mænd,0-4 år,Vallensbæk,København,2006,8
Mænd,0-4 år,Vallensbæk,København,2007,3
