kommune_id;koen_id;aarstal;korrektion
1;M;2006;-22
1;M;2007;-156
1;M;2008;71
1;M;2009;-466
1;M;2010;80
1;M;2011;-543
1;M;2012;-580
1;M;2013;-864
1;M;2014;-404
1;M;2015;-215
1;M;2016;-74
1;M;2017;40
2;M;2006;21
2;M;2007;-41
2;M;2008;6
2;M;2009;10
2;M;2010;-6
2;M;2011;7
2;M;2012;10
2;M;2013;22
2;M;2014;-13
2;M;2015;-16
2;M;2016;-10
2;M;2017;-9
1;K;2006;9
1;K;2007;-284
1;K;2008;-100
1;K;2009;-242
1;K;2010;-6
1;K;2011;-162
1;K;2012;-344
1;K;2013;-522
1;K;2014;-236
1;K;2015;-70
1;K;2016;-78
1;K;2017;-27
2;K;2006;13
2;K;2007;-51
2;K;2008;-14
2;K;2009;-5
2;K;2010;9
2;K;2011;-19
2;K;2012;-16
2;K;2013;14
2;K;2014;-31
2;K;2015;0
2;K;2016;-23
2;K;2017;-10
